model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100,source
mrm8488/distiluse-base-multilingual-cased-v2-finetuned-stsb_multi_mt-es,134734080,multilingual,0.3420599451391204,0.5487387387387388,0.6787853624447299,0.5891891891891892,0.5475675675675675,0.1934594594594594,hugging_face
thenlper/gte-large,335141888,monolingual,0.3413725882163216,0.5440840840840842,0.6722243916617942,0.614054054054054,0.5691891891891891,0.1879459459459459,mteb
symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,278043648,multilingual,0.3367757451572635,0.5288657207576126,0.6763675322476765,0.587027027027027,0.5345945945945946,0.1926486486486486,hugging_face
h4g3n/multilingual-MiniLM-L12-de-en-es-fr-it-nl-pl-pt,103458048,multilingual,0.3326360721452109,0.5403354596832858,0.667232436809605,0.5902702702702702,0.5540540540540541,0.1891891891891892,hugging_face
mixedbread-ai/mxbai-embed-large-v1,335141888,monolingual,0.3316920052795113,0.5398198198198197,0.6661572936400851,0.6021621621621622,0.5556756756756757,0.1829189189189189,mteb
sdadas/mmlw-e5-large,559890432,multilingual,0.3279694535698194,0.5481736281736281,0.6651084459973492,0.5881081081081082,0.5335135135135135,0.1798378378378378,mteb
narraticlabs/MiniLM-L6-european-union,107006976,multilingual,0.3231162469960278,0.5233108657586836,0.6595348664302726,0.5567567567567567,0.5286486486486486,0.1838378378378378,hugging_face
nomic-ai/nomic-embed-text-v1.5,136731648,monolingual,0.3225254177856287,0.5503603603603603,0.6598146735035448,0.6302702702702703,0.572972972972973,0.173027027027027,mteb
thenlper/gte-base,109482240,monolingual,0.31990680446034,0.546936936936937,0.6574803495501554,0.6021621621621622,0.5491891891891891,0.1794054054054054,mteb
Maite89/Roberta_finetuning_semantic_similarity_stsb_multi_mt,355356672,monolingual,0.3187173982006658,0.5197661947661947,0.6691478732826202,0.572972972972973,0.5362162162162162,0.194054054054054,hugging_face
OneFly7/biencoder_ep10_bs32_trans3,278043648,multilingual,0.3103231706351541,0.5318468468468468,0.6558877240802644,0.5578378378378378,0.5302702702702703,0.1803783783783784,hugging_face
sdadas/mmlw-e5-base,278043648,multilingual,0.3089056295693052,0.5304822528766191,0.6526631012514365,0.5827027027027027,0.5345945945945946,0.1717297297297297,mteb
hackathon-pln-es/paraphrase-spanish-distilroberta,124645632,monolingual,0.3066561967040093,0.5065100523487122,0.6442252244482972,0.5178378378378379,0.4897297297297297,0.1939459459459459,spanish
somosnlp-hackathon-2022/paraphrase-spanish-distilroberta,124645632,monolingual,0.3063941540286407,0.5011046469433068,0.6437511510087831,0.52,0.4897297297297297,0.1939459459459459,hugging_face
manu/sentence_croissant_alpha_v0.2,1279887360,multilingual,0.3050435001177567,0.5296150696150695,0.654691715749282,0.5805405405405406,0.5064864864864864,0.1770810810810811,mteb
thenlper/gte-small,33360000,monolingual,0.3044495168368039,0.5351565851565852,0.6456626203773919,0.6054054054054054,0.5372972972972972,0.1717297297297297,mteb
chukbert/paraphrase-multilingual-MiniLM-L12-v2-MSRP-Indo-finetuned-2-epoch,117653760,multilingual,0.3023371279287089,0.5309043707573119,0.6485828314902469,0.547027027027027,0.52,0.1751891891891892,hugging_face
LinerAI/Qwen3-Embedding-0.6B-academic,595776512,multilingual,0.2990757446097146,0.5430630630630631,0.6558018824003852,0.5621621621621622,0.5070270270270271,0.1813513513513514,hugging_face
jaimevera1107/all-MiniLM-L6-v2-similarity-es,22713216,monolingual,0.298559364657265,0.5377220077220077,0.6378966922746233,0.5881081081081082,0.5518918918918918,0.1644324324324324,spanish
jaimevera1107/all-MiniLM-L6-v2-similarity-es,22713216,monolingual,0.2977289787074654,0.525109395109395,0.6363651493148841,0.5891891891891892,0.5518918918918918,0.1644864864864865,hugging_face
sentence-transformers/all-MiniLM-L12-v2,33360000,multilingual,0.2919900479739478,0.5345860145860146,0.6361050611238643,0.5762162162162162,0.5216216216216216,0.1663783783783783,mteb
facebook/drama-large,399803392,multilingual,0.290471338349349,0.5432169092169091,0.6487437422350709,0.5675675675675675,0.4881081081081082,0.1654594594594594,hugging_face
facebook/drama-1b,1235814400,multilingual,0.286316162801401,0.5501743679163034,0.6457759189324956,0.5686486486486486,0.4945945945945946,0.1628108108108108,hugging_face
sentence-transformers/all-MiniLM-L6-v2,22713216,multilingual,0.2838303591524048,0.5394444444444444,0.630326563931777,0.572972972972973,0.5259459459459459,0.1582162162162162,mteb
intfloat/e5-small-v2,33360000,monolingual,0.2779869270411552,0.539009009009009,0.6312662554134234,0.5675675675675675,0.5156756756756756,0.1642162162162162,mteb
jinaai/jina-embedding-b-en-v1,109628544,multilingual,0.2738149581625696,0.5479794079794079,0.6303612139949292,0.5697297297297298,0.5162162162162162,0.1535675675675676,mteb
sdadas/mmlw-roberta-large,434961408,multilingual,0.2671011029219902,0.5521621621621622,0.6277041315333473,0.5697297297297298,0.4972972972972973,0.1505945945945946,mteb
clips/mfaq,278045952,multilingual,0.2662978323283039,0.534995904995905,0.6332099339970595,0.5254054054054054,0.4789189189189189,0.1668108108108108,hugging_face
sentence-transformers/all-mpnet-base-v2,109486464,multilingual,0.2633105356067038,0.5384922584922585,0.6224117890437993,0.5610810810810811,0.4935135135135134,0.1505405405405405,mteb
OneFly7/crossencoder_ep10_bs8_trans1,278043648,multilingual,0.2603867026610628,0.5375831158305961,0.6181617345840587,0.5416216216216218,0.487027027027027,0.1654594594594594,hugging_face
facebook/drama-base,211766016,multilingual,0.2586914441118762,0.5386773136773136,0.6255154971199144,0.5556756756756757,0.4659459459459459,0.152054054054054,hugging_face
jinaai/jina-embedding-s-en-v1,35330816,multilingual,0.2423589948034598,0.5436936936936937,0.6101893027562523,0.5599999999999999,0.4908108108108108,0.142,mteb
nvidia/llama-embed-nemotron-8b,7504924672,multilingual,0.2268064880552179,0.5255263055263055,0.6044358817872982,0.4962162162162162,0.4183783783783784,0.1354054054054053,mteb
dccuchile/distilbert-base-spanish-uncased,66731520,monolingual,0.2114569182675654,0.4901266239234719,0.5893079910732331,0.4789189189189189,0.412972972972973,0.1371891891891892,spanish
dccuchile/albert-base-4-spanish,11811584,monolingual,0.2106503166967263,0.4964882227623446,0.5913875964379414,0.4540540540540541,0.4064864864864865,0.1423243243243243,spanish
dccuchile/albert-base-2-spanish,11811584,monolingual,0.2100958669854371,0.5101436096721217,0.5925055328204425,0.4583783783783784,0.4070270270270271,0.142,spanish
dccuchile/patana-chilean-spanish-bert,109850880,monolingual,0.2093679171363499,0.4971050727226052,0.589338731501419,0.4637837837837838,0.4048648648648649,0.1365945945945946,spanish
dccuchile/tulio-chilean-spanish-bert,109850880,monolingual,0.1997649464333436,0.4745748112547792,0.5776989184295799,0.4454054054054054,0.3654054054054054,0.132054054054054,spanish
PlanTL-GOB-ES/roberta-base-es-wikicat-es,124643328,monolingual,0.1959485475189648,0.466974327554321,0.5689251233967888,0.4075675675675676,0.3567567567567568,0.1353513513513513,spanish
dccuchile/bert-base-spanish-wwm-cased,109850880,monolingual,0.1911962117759876,0.4915160115410887,0.5732976716995666,0.4540540540540541,0.374054054054054,0.1293513513513513,spanish
dccuchile/albert-base-2-spanish-distilled-mldoc,11811584,monolingual,0.1826388968409202,0.4847372244308343,0.5641554014069261,0.4648648648648649,0.385945945945946,0.1251891891891892,spanish
dccuchile/albert-base-6-spanish,11811584,monolingual,0.1778970057445046,0.4808354656550834,0.5620880988847559,0.4367567567567567,0.3724324324324324,0.1219459459459459,spanish
dccuchile/albert-base-2-spanish-distilled-qa-sqac,11811584,monolingual,0.1659712803633704,0.502844603591738,0.5506349449690138,0.4713513513513514,0.3940540540540541,0.1070810810810811,spanish
PlanTL-GOB-ES/Controversy-Prediction,124643328,monolingual,0.1637813540193087,0.4581910365003671,0.5374382505547051,0.3935135135135136,0.3567567567567568,0.1065945945945946,spanish
dccuchile/albert-base-4-spanish-distilled-xnli,11811584,monolingual,0.152582125019648,0.4806593746612663,0.5380472087999681,0.4464864864864865,0.3578378378378378,0.1043243243243243,spanish
dccuchile/bert-base-spanish-wwm-uncased,109850880,monolingual,0.1521508270683286,0.4756288361726203,0.5394137731123839,0.4097297297297297,0.3367567567567567,0.1087567567567567,spanish
dccuchile/albert-tiny-spanish-distilled-mldoc,5344136,monolingual,0.1520817797191612,0.4653192461374512,0.5408104188845295,0.4086486486486486,0.3572972972972972,0.1108648648648648,spanish
dccuchile/albert-base-2-spanish-distilled-xnli,11811584,monolingual,0.1519586780186467,0.4837521594028744,0.539719546202573,0.425945945945946,0.3594594594594594,0.1064324324324324,spanish
PlanTL-GOB-ES/bsc-bio-ehr-es-cantemist,124643328,monolingual,0.1468732499384191,0.4547923700044156,0.5311663291456108,0.3956756756756757,0.3421621621621621,0.1075675675675675,spanish
dccuchile/albert-base-6-spanish-distilled-xnli,11811584,monolingual,0.1463655389307685,0.5007584668620528,0.5386313797758792,0.3967567567567568,0.3297297297297297,0.1079459459459459,spanish
dccuchile/albert-base-2-spanish-distilled-ner,11811584,monolingual,0.1441454313361244,0.4760798012369554,0.5335315797156612,0.3827027027027028,0.3281081081081081,0.1064324324324324,spanish
dccuchile/albert-tiny-spanish,5344136,monolingual,0.142804419711043,0.4742290046124187,0.5364666319063763,0.387027027027027,0.3216216216216216,0.1091351351351351,spanish
bertin-project/bertin-roberta-base-spanish,124643328,multilingual,0.1415250964774868,0.4679798685956694,0.5263600013345464,0.4086486486486487,0.3248648648648648,0.0996756756756757,spanish
dccuchile/albert-base-2-spanish-distilled-pawsx,11811584,monolingual,0.1409963088098311,0.4744401630251392,0.5251813933936053,0.3935135135135136,0.3097297297297297,0.0998918918918919,spanish
dccuchile/albert-base-6-spanish-distilled-mldoc,11811584,monolingual,0.1397868111378671,0.4635326915108037,0.5246405297491632,0.4172972972972973,0.3464864864864864,0.102054054054054,spanish
PlanTL-GOB-ES/bsc-bio-es,124643328,monolingual,0.137839261742568,0.4446528584992831,0.5177095838068124,0.3794594594594594,0.3162162162162162,0.0955675675675675,spanish
dccuchile/albert-base-8-spanish-distilled-xnli,11811584,monolingual,0.1376625392154908,0.4884225767990957,0.5293680430778642,0.3827027027027028,0.3156756756756756,0.1032972972972973,spanish
dccuchile/albert-base-2-spanish-distilled-pos,11811584,monolingual,0.1376337777337768,0.4792475008229386,0.5245027761050506,0.371891891891892,0.3189189189189189,0.0993513513513513,spanish
dccuchile/albert-base-8-spanish,11811584,monolingual,0.1371076753625357,0.4693801477629215,0.5235372911478113,0.3891891891891892,0.3297297297297297,0.0963243243243243,spanish
jfarray/Model_dccuchile_bert-base-spanish-wwm-uncased_100_Epochs,110047744,monolingual,0.1351228690227638,0.4640374175947141,0.521685643889965,0.3837837837837838,0.3151351351351351,0.0989189189189189,spanish
dccuchile/albert-base-4-spanish-distilled-mldoc,11811584,monolingual,0.1334465824771294,0.4758535129866295,0.5206604981840347,0.4118918918918919,0.327027027027027,0.094,spanish
PlanTL-GOB-ES/bsc-bio-ehr-es-pharmaconer,124643328,monolingual,0.129205217966488,0.4383805223224362,0.5143907241423488,0.3675675675675676,0.3189189189189189,0.0964864864864865,spanish
dccuchile/albert-base-4-spanish-distilled-pawsx,11811584,monolingual,0.127543431525418,0.4808709050665749,0.5164856268129422,0.3816216216216216,0.3254054054054054,0.0925945945945946,spanish
dccuchile/albert-base-2-spanish-distilled-qa-mlqa,11811584,monolingual,0.1274676801548461,0.4686703047934148,0.5156146362831183,0.3902702702702703,0.3124324324324324,0.0945945945945946,spanish
PlanTL-GOB-ES/roberta-base-ca,125978112,multilingual,0.1264359251218584,0.4561500895121391,0.5115907204197285,0.36,0.2978378378378378,0.1031351351351351,spanish
PlanTL-GOB-ES/bsc-bio-ehr-es,124643328,monolingual,0.1212920793721237,0.4232402761263328,0.5009127915571905,0.3437837837837837,0.2908108108108108,0.0891891891891892,spanish
dccuchile/albert-base-2-spanish-distilled-qa-tar,11811584,monolingual,0.1212045297059811,0.4596018134782683,0.5065604650321502,0.3772972972972974,0.3075675675675676,0.0931351351351351,spanish
dccuchile/albert-base-4-spanish-distilled-pos,11811584,monolingual,0.119782196296518,0.473390185602245,0.504987285980013,0.3632432432432432,0.2967567567567568,0.0868648648648648,spanish
dccuchile/albert-base-10-spanish-distilled-xnli,11811584,monolingual,0.1164321494718233,0.4754404895850151,0.5054793559197214,0.372972972972973,0.3032432432432433,0.086,spanish
dccuchile/albert-xlarge-spanish,58852864,monolingual,0.1153582194731257,0.4325824426291572,0.4937630127522939,0.3178378378378378,0.2713513513513513,0.0849189189189189,spanish
dccuchile/albert-base-8-spanish-distilled-mldoc,11811584,monolingual,0.1134034994788352,0.4380395955667621,0.4991848363525688,0.3459459459459459,0.2870270270270271,0.085027027027027,spanish
dccuchile/albert-tiny-spanish-distilled-pos,5344136,monolingual,0.1123159787447322,0.4593024982249903,0.4976569857801746,0.3427027027027027,0.2783783783783783,0.0871351351351351,spanish
dccuchile/albert-tiny-spanish-distilled-pawsx,5344136,monolingual,0.1106467420583554,0.4550190770741024,0.50248999541779,0.3372972972972973,0.26,0.0869189189189189,spanish
dccuchile/albert-base-10-spanish-distilled-mldoc,11811584,monolingual,0.1103136343858297,0.4495490866598556,0.4951207862510441,0.347027027027027,0.2745945945945946,0.0806486486486486,spanish
0xnu/pmmlv2-fine-tuned-igbo,117653760,multilingual,0.1100127103726683,0.4860028042598815,0.4906914655676804,0.3686486486486487,0.2843243243243243,0.0768648648648648,hugging_face
dccuchile/albert-tiny-spanish-distilled-qa-sqac,5344136,monolingual,0.1084344504365269,0.4546619043453917,0.495432865499069,0.3545945945945946,0.2875675675675676,0.0793513513513513,spanish
0xnu/pmmlv2-fine-tuned-hausa,117653760,multilingual,0.1078421203616527,0.469792378096725,0.4871377194753471,0.371891891891892,0.2918918918918919,0.0757297297297297,hugging_face
dccuchile/albert-base-4-spanish-distilled-qa-sqac,11811584,monolingual,0.1068421864440218,0.4561549412487046,0.4944613820386494,0.3394594594594595,0.28,0.0834054054054054,spanish
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,125978112,monolingual,0.1066449417615085,0.408746029548084,0.4829740649651587,0.3221621621621622,0.2502702702702702,0.0742162162162162,spanish
PlanTL-GOB-ES/RoBERTalex,125978112,monolingual,0.1060815876405735,0.405401250355423,0.480092907221364,0.3027027027027027,0.2378378378378378,0.0712432432432432,spanish
dccuchile/albert-base-spanish-distilled-xnli,11811584,monolingual,0.105874870521962,0.4685175157072134,0.4928350321703905,0.3708108108108108,0.2799999999999999,0.0758918918918919,spanish
0xnu/pmmlv2-fine-tuned-yoruba,117653760,multilingual,0.1052488478520573,0.4851927677075909,0.4856215201922714,0.3643243243243244,0.2778378378378379,0.0728648648648648,hugging_face
dccuchile/albert-base-4-spanish-distilled-qa-mlqa,11811584,monolingual,0.1010881634758166,0.449629618584486,0.4864324607381108,0.3481081081081081,0.2648648648648649,0.0742702702702702,spanish
0xnu/pmmlv2-fine-tuned-flemish,117653760,multilingual,0.0997942517115917,0.4712528959410498,0.4810635091124621,0.36,0.2648648648648649,0.0707567567567567,hugging_face
dccuchile/albert-base-10-spanish,11811584,monolingual,0.0995421192498981,0.4438969363559412,0.4834921951063318,0.3481081081081081,0.2848648648648649,0.074054054054054,spanish
dccuchile/albert-base-6-spanish-distilled-pos,11811584,monolingual,0.0994724069778688,0.4505690637988668,0.4832232924346144,0.32,0.2670270270270271,0.076,spanish
PlanTL-GOB-ES/roberta-base-biomedical-es,125978112,monolingual,0.0983534269620451,0.4011911441399601,0.4727066792352766,0.2897297297297297,0.2286486486486486,0.0707027027027027,spanish
dccuchile/albert-base-8-spanish-distilled-pos,11811584,monolingual,0.0969470365044846,0.4340556777175988,0.4822834819128559,0.3254054054054054,0.2410810810810811,0.0728108108108108,spanish
dccuchile/albert-base-4-spanish-distilled-qa-tar,11811584,monolingual,0.0943847623163231,0.4492703645072382,0.4789536563763856,0.3210810810810811,0.2491891891891892,0.0739459459459459,spanish
j0h4nnes/decoy-ify_llama3.1_8B_v2,117653760,multilingual,0.094252825629068,0.4270725549079741,0.4683438644552578,0.3394594594594595,0.2789189189189189,0.0729729729729729,hugging_face
dccuchile/albert-base-6-spanish-distilled-qa-tar,11811584,monolingual,0.0923175533692656,0.4377810270873111,0.477820455026424,0.3405405405405405,0.2686486486486487,0.0718918918918919,spanish
dccuchile/albert-base-6-spanish-distilled-qa-sqac,11811584,monolingual,0.0901795499756097,0.4173949599563543,0.4756348118592832,0.3048648648648649,0.2416216216216216,0.0751351351351351,spanish
dccuchile/albert-base-10-spanish-distilled-pos,11811584,monolingual,0.0898225527479947,0.4398122825393319,0.4731968973187408,0.3048648648648649,0.2464864864864865,0.071081081081081,spanish
dccuchile/albert-base-spanish-distilled-mldoc,11811584,monolingual,0.0897980813494008,0.4192375366405269,0.4682349050661216,0.3113513513513514,0.2410810810810811,0.0664864864864864,spanish
dccuchile/albert-tiny-spanish-distilled-qa-tar,5344136,monolingual,0.089598288297462,0.4041092738228677,0.4695803875396367,0.2940540540540541,0.2443243243243243,0.0707027027027027,spanish
dccuchile/albert-xxlarge-spanish,222723584,monolingual,0.0888535788564857,0.4393648050958194,0.4655515853140729,0.3437837837837838,0.2718918918918919,0.0647027027027027,spanish
dccuchile/albert-base-spanish-distilled-pawsx,11811584,monolingual,0.0887657976406916,0.42404381562448,0.4677300097837003,0.3232432432432433,0.2567567567567567,0.0673513513513513,spanish
dccuchile/albert-base-4-spanish-distilled-ner,11811584,monolingual,0.0879674891179949,0.4404903144711661,0.4755447761638428,0.2886486486486487,0.2286486486486486,0.0755675675675675,spanish
dccuchile/albert-tiny-spanish-distilled-xnli,5344136,monolingual,0.0869832909372671,0.4349932929297808,0.4737253933397633,0.3037837837837838,0.2194594594594594,0.0685945945945946,spanish
dccuchile/albert-base-6-spanish-distilled-pawsx,11811584,monolingual,0.0838030250937466,0.4437157407590956,0.4633998209757858,0.3091891891891892,0.2416216216216216,0.066054054054054,spanish
dccuchile/albert-base-8-spanish-distilled-qa-tar,11811584,monolingual,0.0833940815157583,0.4545488558170237,0.465233091280499,0.305945945945946,0.2205405405405405,0.0632972972972973,spanish
dccuchile/albert-base-10-spanish-distilled-qa-sqac,11811584,monolingual,0.0826547133919102,0.4291972633179455,0.4663220600911173,0.2951351351351352,0.2221621621621621,0.0669189189189189,spanish
dccuchile/albert-base-10-spanish-distilled-pawsx,11811584,monolingual,0.0797660310801533,0.4636291760842697,0.4644494575086582,0.3167567567567568,0.2378378378378378,0.0605405405405405,spanish
dccuchile/albert-base-8-spanish-distilled-qa-mlqa,11811584,monolingual,0.0793937223048838,0.4297383895958062,0.4622246329280703,0.2897297297297297,0.2264864864864865,0.0624864864864864,spanish
dccuchile/albert-base-8-spanish-distilled-pawsx,11811584,monolingual,0.0793744845063765,0.4419715053789121,0.4547995647742168,0.3167567567567567,0.2335135135135135,0.0579459459459459,spanish
dccuchile/albert-base-8-spanish-distilled-qa-sqac,11811584,monolingual,0.0789521643603141,0.4185533192135637,0.4659905837634495,0.254054054054054,0.212972972972973,0.0737837837837837,spanish
dccuchile/albert-base-6-spanish-distilled-ner,11811584,monolingual,0.0785363720640422,0.4209938074403302,0.4643391020672726,0.2681081081081081,0.2043243243243243,0.0661621621621621,spanish
dccuchile/albert-base-6-spanish-distilled-qa-mlqa,11811584,monolingual,0.0781640979588681,0.4185757180253046,0.4584683483457684,0.2864864864864865,0.2097297297297297,0.0656756756756756,spanish
dccuchile/albert-base-spanish,11811584,monolingual,0.0779813346475774,0.4148936942377118,0.4525928493621136,0.3178378378378379,0.2362162162162162,0.0592432432432432,spanish
dccuchile/albert-base-spanish-distilled-pos,11811584,monolingual,0.0778169755468526,0.412006855677873,0.4560328830475139,0.3048648648648649,0.2324324324324324,0.0638378378378378,spanish
dccuchile/albert-tiny-spanish-distilled-qa-mlqa,5344136,monolingual,0.0755812095366161,0.4193623185866604,0.4583693462764031,0.2875675675675676,0.2108108108108108,0.0632972972972973,spanish
dccuchile/albert-base-8-spanish-distilled-ner,11811584,monolingual,0.0720267317793338,0.3889698418453341,0.4507712261885577,0.24,0.187027027027027,0.0567567567567567,spanish
dccuchile/albert-tiny-spanish-distilled-ner,5344136,monolingual,0.0718940552194358,0.3837316400145487,0.452540458524181,0.2443243243243243,0.1972972972972973,0.067027027027027,spanish
dccuchile/albert-base-spanish-distilled-qa-tar,11811584,monolingual,0.0715298276322825,0.42233785531918,0.4540240486320244,0.2745945945945945,0.2140540540540541,0.0577297297297297,spanish
dccuchile/albert-base-spanish-distilled-qa-mlqa,11811584,monolingual,0.0714223962109526,0.3998847108353047,0.4507916531426317,0.2475675675675675,0.1951351351351351,0.0612432432432432,spanish
dccuchile/albert-base-10-spanish-distilled-qa-mlqa,11811584,monolingual,0.0700773899284041,0.4163899982545692,0.4445806726010372,0.2616216216216216,0.1924324324324324,0.0543243243243243,spanish
dccuchile/albert-base-spanish-distilled-qa-sqac,11811584,monolingual,0.0665805898175223,0.386718137869598,0.4395940539238555,0.2508108108108108,0.2005405405405405,0.0536216216216216,spanish
dccuchile/albert-base-10-spanish-distilled-ner,11811584,monolingual,0.063189499899454,0.3962905879388917,0.4438690817896417,0.2378378378378378,0.1794594594594594,0.0559459459459459,spanish
dccuchile/albert-base-10-spanish-distilled-qa-tar,11811584,monolingual,0.062703034634288,0.3953949315835419,0.4317643307242805,0.2421621621621622,0.1794594594594594,0.0483243243243243,spanish
dccuchile/albert-base-spanish-distilled-ner,11811584,monolingual,0.0545846042701854,0.3408391335862104,0.4258968259301109,0.1913513513513514,0.1508108108108108,0.051027027027027,spanish
dccuchile/albert-large-spanish,17811968,monolingual,0.0390605143865908,0.3389878070300443,0.3948721508284579,0.1848648648648649,0.1227027027027027,0.0343243243243243,spanish
