model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100
OneFly7/biencoder_ep10_bs64_trans3,278043648,multilingual,0.3613389027694583,0.5397447447447448,0.6873903702247768,0.598918918918919,0.5627027027027026,0.2029189189189189
hiiamsid/sentence_similarity_spanish_es,109850880,monolingual,0.3600813311225695,0.53823907941555,0.6966688373236891,0.6162162162162163,0.5713513513513513,0.2095675675675675
OneFly7/biencoder_ep10_bs64_all,278043648,multilingual,0.3591787097203664,0.5417631917631918,0.6860182771108929,0.5956756756756757,0.5632432432432432,0.2024864864864864
DmitryML/distiluse-base-multilingual-cased-v1,135127808,multilingual,0.3549136818697552,0.5463722651222651,0.6841845685792328,0.5881081081081082,0.5637837837837838,0.2002162162162162
upskyy/e5-small-korean,117653760,multilingual,0.3544796673038624,0.5454954954954955,0.6895973952185913,0.6086486486486486,0.581081081081081,0.1984864864864864
emersoftware/tulio-chilean-spanish-bert-finetuned-msmarco-qa-es,109850880,monolingual,0.3470578091728032,0.5421218452252935,0.6848687053311463,0.6,0.5583783783783783,0.2024324324324324
OneFly7/biencoder_ep10_bs32_lr2e5_cosine_annealing_hard_neg_1,278043648,multilingual,0.3458708854151326,0.538018018018018,0.6785392598321853,0.5913513513513514,0.5535135135135135,0.1952432432432432
mrm8488/distiluse-base-multilingual-cased-v2-finetuned-stsb_multi_mt-es,134734080,multilingual,0.3420599451391204,0.5487387387387388,0.6787853624447299,0.5891891891891892,0.5475675675675675,0.1934594594594594
symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,278043648,multilingual,0.3367757451572635,0.5288657207576126,0.6763675322476765,0.587027027027027,0.5345945945945946,0.1926486486486486
h4g3n/multilingual-MiniLM-L12-de-en-es-fr-it-nl-pl-pt,103458048,multilingual,0.3326360721452109,0.5403354596832858,0.667232436809605,0.5902702702702702,0.5540540540540541,0.1891891891891892
narraticlabs/MiniLM-L6-european-union,107006976,multilingual,0.3231162469960278,0.5233108657586836,0.6595348664302726,0.5567567567567567,0.5286486486486486,0.1838378378378378
Maite89/Roberta_finetuning_semantic_similarity_stsb_multi_mt,355356672,monolingual,0.3187173982006658,0.5197661947661947,0.6691478732826202,0.572972972972973,0.5362162162162162,0.194054054054054
OneFly7/biencoder_ep10_bs32_trans3,278043648,multilingual,0.3103231706351541,0.5318468468468468,0.6558877240802644,0.5578378378378378,0.5302702702702703,0.1803783783783784
somosnlp-hackathon-2022/paraphrase-spanish-distilroberta,124645632,monolingual,0.3063941540286407,0.5011046469433068,0.6437511510087831,0.52,0.4897297297297297,0.1939459459459459
chukbert/paraphrase-multilingual-MiniLM-L12-v2-MSRP-Indo-finetuned-2-epoch,117653760,multilingual,0.3023371279287089,0.5309043707573119,0.6485828314902469,0.547027027027027,0.52,0.1751891891891892
LinerAI/Qwen3-Embedding-0.6B-academic,595776512,multilingual,0.2990757446097146,0.5430630630630631,0.6558018824003852,0.5621621621621622,0.5070270270270271,0.1813513513513514
jaimevera1107/all-MiniLM-L6-v2-similarity-es,22713216,monolingual,0.2977289787074654,0.525109395109395,0.6363651493148841,0.5891891891891892,0.5518918918918918,0.1644864864864865
facebook/drama-large,399803392,multilingual,0.290471338349349,0.5432169092169091,0.6487437422350709,0.5675675675675675,0.4881081081081082,0.1654594594594594
facebook/drama-1b,1235814400,multilingual,0.286316162801401,0.5501743679163034,0.6457759189324956,0.5686486486486486,0.4945945945945946,0.1628108108108108
clips/mfaq,278045952,multilingual,0.2662978323283039,0.534995904995905,0.6332099339970595,0.5254054054054054,0.4789189189189189,0.1668108108108108
OneFly7/crossencoder_ep10_bs8_trans1,278043648,multilingual,0.2603867026610628,0.5375831158305961,0.6181617345840587,0.5416216216216218,0.487027027027027,0.1654594594594594
facebook/drama-base,211766016,multilingual,0.2586914441118762,0.5386773136773136,0.6255154971199144,0.5556756756756757,0.4659459459459459,0.152054054054054
0xnu/pmmlv2-fine-tuned-igbo,117653760,multilingual,0.1100127103726683,0.4860028042598815,0.4906914655676804,0.3686486486486487,0.2843243243243243,0.0768648648648648
0xnu/pmmlv2-fine-tuned-hausa,117653760,multilingual,0.1078421203616527,0.469792378096725,0.4871377194753471,0.371891891891892,0.2918918918918919,0.0757297297297297
0xnu/pmmlv2-fine-tuned-yoruba,117653760,multilingual,0.1052488478520573,0.4851927677075909,0.4856215201922714,0.3643243243243244,0.2778378378378379,0.0728648648648648
0xnu/pmmlv2-fine-tuned-flemish,117653760,multilingual,0.0997942517115917,0.4712528959410498,0.4810635091124621,0.36,0.2648648648648649,0.0707567567567567
j0h4nnes/decoy-ify_llama3.1_8B_v2,117653760,multilingual,0.094252825629068,0.4270725549079741,0.4683438644552578,0.3394594594594595,0.2789189189189189,0.0729729729729729
