,Model_Name,Memory Usage (MB),Number of Parameters,Rank (Borda),Retrieval,Model_Link,Short_Name
73,jinaai/jina-embedding-b-en-v1,420.0,110000000.0,74,37.96,https://huggingface.co/jinaai/jina-embedding-b-en-v1,jina-embedding-b-en-v1
74,nomic-ai/nomic-embed-text-v1.5,522.0,,75,37.05,https://huggingface.co/nomic-ai/nomic-embed-text-v1,nomic-embed-text-v1
75,Snowflake/snowflake-arctic-embed-l-v2.0,86.0,22000000.0,76,35.23,https://huggingface.co/Snowflake/snowflake-arctic-embed-xs,snowflake-arctic-embed-xs
76,infgrad/stella-base-en-v2,,,77,35.28,https://huggingface.co/infgrad/stella-base-en-v2,stella-base-en-v2
77,intfloat/multilingual-e5-small,127.0,33000000.0,78,36.25,https://huggingface.co/intfloat/e5-small,e5-small
78,sentence-transformers/static-similarity-mrl-multilingual-v1,413.0,108000000.0,79,41.21,https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1,static-similarity-mrl-multilingual-v1
79,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,1061.0,278000000.0,80,38.47,https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,Arabic-all-nli-triplet-Matryoshka
80,dwzhu/e5-base-4k,,,81,36.78,https://huggingface.co/dwzhu/e5-base-4k,e5-base-4k
81,sentence-transformers/all-mpnet-base-v2,418.0,109000000.0,82,33.8,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,all-mpnet-base-v2
82,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,449.0,118000000.0,83,36.61,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,paraphrase-multilingual-MiniLM-L12-v2
83,nomic-ai/nomic-embed-text-v1.5,522.0,137000000.0,84,34.09,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,nomic-embed-text-v1.5
84,Mihaiii/Ivysaur,87.0,22000000.0,85,34.42,https://huggingface.co/Mihaiii/Ivysaur,Ivysaur
85,bigscience/sgpt-bloom-7b1-msmarco,,,86,35.27,https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco,sgpt-bloom-7b1-msmarco
86,manu/sentence_croissant_alpha_v0.2,2441.0,1000000000.0,87,36.48,https://huggingface.co/manu/sentence_croissant_alpha_v0.2,sentence_croissant_alpha_v0.2
87,sdadas/mmlw-e5-large,2136.0,559000000.0,88,33.33,https://huggingface.co/sdadas/mmlw-e5-large,mmlw-e5-large
88,minishlab/potion-multilingual-128M,489.0,128000000.0,89,37.86,https://huggingface.co/minishlab/potion-multilingual-128M,potion-multilingual-128M
89,avsolatorio/GIST-all-MiniLM-L6-v2,87.0,22000000.0,90,33.3,https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2,GIST-all-MiniLM-L6-v2
90,brahmairesearch/slx-v0.1,87.0,22000000.0,91,32.51,https://huggingface.co/brahmairesearch/slx-v0.1,slx-v0.1
91,sentence-transformers/all-MiniLM-L6-v2,87.0,22000000.0,92,32.51,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,all-MiniLM-L6-v2
92,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,1796.0,470000000.0,93,36.98,https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,Arabic-labse-Matryoshka
93,sentence-transformers/all-MiniLM-L12-v2,127.0,33000000.0,94,33.37,https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2,all-MiniLM-L12-v2
94,,396.0,103000000.0,95,35.42,https://huggingface.co/OrlikB/KartonBERT-USE-base-v1,KartonBERT-USE-base-v1
95,jinaai/jina-embedding-s-en-v1,134.0,35000000.0,96,34.7,https://huggingface.co/jinaai/jina-embedding-s-en-v1,jina-embedding-s-en-v1
96,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,449.0,117000000.0,97,35.06,https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,Arabic-MiniLM-L12-v2-all-nli-triplet
97,sdadas/mmlw-e5-base,1061.0,278000000.0,98,30.79,https://huggingface.co/sdadas/mmlw-e5-base,mmlw-e5-base
98,chienpham/sts-multilingual-mpnet-base-v2,1061.0,278000000.0,99,34.66,https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2,STS-multilingual-mpnet-base-v2
99,sdadas/mmlw-roberta-large,1659.0,434000000.0,100,31.75,https://huggingface.co/sdadas/mmlw-roberta-large,mmlw-roberta-large
100,sdadas/mmlw-roberta-base,475.0,124000000.0,101,30.39,https://huggingface.co/sdadas/mmlw-roberta-base,mmlw-roberta-base
101,sentence-transformers/LaBSE,1796.0,471000000.0,102,33.17,https://huggingface.co/sentence-transformers/LaBSE,LaBSE
102,ai-forever/ru-en-RoSBERTa,1540.0,404000000.0,103,32.68,https://huggingface.co/ai-forever/ru-en-RoSBERTa,ru-en-RoSBERTa
103,sdadas/mmlw-e5-small,449.0,117000000.0,104,31.05,https://huggingface.co/sdadas/mmlw-e5-small,mmlw-e5-small
104,Mihaiii/gte-micro-v4,73.0,19000000.0,105,30.54,https://huggingface.co/Mihaiii/gte-micro-v4,gte-micro-v4
105,Mihaiii/Bulbasaur,66.0,17000000.0,106,29.88,https://huggingface.co/Mihaiii/Bulbasaur,Bulbasaur
106,omarelshehy/arabic-english-sts-matryoshka,2136.0,559000000.0,107,31.72,https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka,arabic-english-sts-matryoshka
107,sergeyzh/LaBSE-ru-turbo,490.0,129000000.0,108,31.8,https://huggingface.co/sergeyzh/LaBSE-ru-turbo,LaBSE-ru-turbo
108,minishlab/potion-base-8M,29.0,7000000.0,109,28.63,https://huggingface.co/minishlab/potion-base-8M,potion-base-8M
110,shibing624/text2vec-base-multilingual,449.0,117000000.0,111,26.99,https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase,text2vec-base-multilingual
111,minishlab/potion-base-4M,14.0,3000000.0,112,27.23,https://huggingface.co/minishlab/potion-base-4M,potion-base-4M
112,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,27126.0,7000000000.0,113,30.57,https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse
114,Mihaiii/Wartortle,66.0,17000000.0,115,27.21,https://huggingface.co/Mihaiii/Wartortle,Wartortle
116,cointegrated/LaBSE-en-ru,492.0,129000000.0,117,27.15,https://huggingface.co/cointegrated/LaBSE-en-ru,LaBSE-en-ru
117,Mihaiii/gte-micro,66.0,17000000.0,117,26.16,https://huggingface.co/Mihaiii/gte-micro,gte-micro
118,minishlab/potion-base-2M,7.0,2000000.0,119,23.99,https://huggingface.co/minishlab/potion-base-2M,potion-base-2M
119,,,,120,28.38,https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1,st-polish-kartonberta-base-alpha-v1
120,minishlab/M2V_base_output,29.0,7000000.0,121,24.74,https://huggingface.co/minishlab/M2V_base_output,M2V_base_output
121,Mihaiii/Venusaur,60.0,15000000.0,122,25.64,https://huggingface.co/Mihaiii/Venusaur,Venusaur
122,superb-test-user/distilbert-base-uncased-finetuned-squad-d5716d28,473.0,427000000.0,123,27.22,https://huggingface.co/deepvk/USER-base,USER-base
123,Mihaiii/Squirtle,60.0,15000000.0,124,24.85,https://huggingface.co/Mihaiii/Squirtle,Squirtle
124,minishlab/M2V_base_glove,391.0,102000000.0,125,24.38,https://huggingface.co/minishlab/M2V_base_glove,M2V_base_glove
125,minishlab/M2V_base_glove_subword,391.0,103000000.0,126,24.12,https://huggingface.co/minishlab/M2V_base_glove_subword,M2V_base_glove_subword
126,sergeyzh/rubert-tiny-turbo,111.0,29000000.0,127,24.4,https://huggingface.co/sergeyzh/rubert-tiny-turbo,rubert-tiny-turbo
127,consciousAI/cai-lunaris-text-embeddings,,,128,23.49,https://huggingface.co/consciousAI/cai-lunaris-text-embeddings,cai-lunaris-text-embeddings
128,aari1995/German_Semantic_STS_V2,1281.0,335000000.0,129,21.8,https://huggingface.co/aari1995/German_Semantic_STS_V2,German_Semantic_STS_V2
129,jinaai/jina-embeddings-v2-small-en,62.0,32000000.0,130,13.45,https://huggingface.co/jinaai/jina-embeddings-v2-small-en,jina-embeddings-v2-small-en
131,,516.0,135000000.0,132,15.75,https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1,silma-embeddding-matryoshka-v0.1
132,jinaai/jina-embeddings-v2-base-en,262.0,137000000.0,133,10.7,https://huggingface.co/jinaai/jina-embeddings-v2-base-en,jina-embeddings-v2-base-en
133,cointegrated/rubert-tiny2,112.0,29000000.0,134,14.35,https://huggingface.co/cointegrated/rubert-tiny2,rubert-tiny2
134,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,516.0,135000000.0,135,12.74,https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,Arabert-all-nli-triplet-Matryoshka
135,DeepPavlov/distilrubert-small-cased-conversational,408.0,107000000.0,136,12.76,https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational,distilrubert-small-cased-conversational
137,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,418.0,109000000.0,138,13.12,https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,Arabic-mpnet-base-all-nli-triplet
138,malenia1/ternary-weight-embedding,158.0,98000000.0,139,10.63,https://huggingface.co/malenia1/ternary-weight-embedding,ternary-weight-embedding
139,Jaume/gemma-2b-embeddings,9560.0,2000000000.0,140,13.05,https://huggingface.co/Jaume/gemma-2b-embeddings,gemma-2b-embeddings
140,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,621.0,162000000.0,141,9.19,https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,Marbert-all-nli-triplet-Matryoshka
142,Ann2020/rubert-base-cased-sentence-finetuned-ner,408.0,107000000.0,143,9.9,https://huggingface.co/DeepPavlov/rubert-base-cased-sentence,rubert-base-cased-sentence
143,cointegrated/rubert-tiny2,45.0,11000000.0,144,12.09,https://huggingface.co/cointegrated/rubert-tiny,rubert-tiny
144,DeepPavlov/rubert-base-cased,4883.0,1000000000.0,145,7.97,https://huggingface.co/DeepPavlov/rubert-base-cased,rubert-base-cased
145,ai-forever/sbert_large_nlu_ru,1629.0,427000000.0,146,7.8,https://huggingface.co/ai-forever/sbert_large_nlu_ru,sbert_large_nlu_ru
146,ai-forever/sbert_large_mt_nlu_ru,1629.0,427000000.0,147,8.47,https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru,sbert_large_mt_nlu_ru
147,binhquoc/deberta-v1-base,473.0,124000000.0,148,6.63,https://huggingface.co/deepvk/deberta-v1-base,deberta-v1-base
