,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Reranking
20,21,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),83%,204.0,0.107,384.0,512.0,58.48,58.48,58.48
21,22,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,1092.0,0.572,1024.0,8194.0,57.09,57.09,57.09
22,23,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),100%,1061.0,0.278,768.0,514.0,60.18,60.18,60.18
23,24,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),100%,3802.0,1.999,8960.0,131072.0,,,
24,25,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449.0,7.72,4096.0,32768.0,,,
25,26,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),83%,2166.0,0.568,1024.0,8194.0,,,
26,27,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),83%,,,768.0,8192.0,48.18,48.18,48.18
27,28,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,1796.0,0.471,768.0,512.0,50.2,50.2,50.2
28,28,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,1061.0,0.278,768.0,514.0,54.27,54.27,54.27
29,30,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,2136.0,0.56,1024.0,514.0,,,
30,31,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,449.0,0.118,384.0,512.0,,,
31,32,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,1796.0,0.471,768.0,512.0,51.59,51.59,51.59
32,33,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,639.0,0.335,1024.0,512.0,48.87,48.87,48.87
33,34,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,512.0,53.37,53.37,53.37
34,35,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,1242.0,0.335,1024.0,512.0,48.84,48.84,48.84
35,36,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),83%,1370.0,0.359,1024.0,8194.0,51.53,51.53,51.53
36,37,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),83%,522.0,,768.0,8192.0,46.01,46.01,46.01
37,38,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,449.0,0.118,768.0,512.0,50.97,50.97,50.97
38,39,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,390.0,0.109,768.0,512.0,47.57,47.57,47.57
39,40,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,2136.0,0.56,1024.0,514.0,48.31,48.31,48.31
40,41,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,449.0,0.118,384.0,512.0,51.13,51.13,51.13
41,42,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),83%,489.0,0.128,256.0,,47.39,47.39,47.39
42,43,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),100%,15618.0,8.0,4096.0,1536.0,,,
43,44,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,1278.0,0.335,1024.0,514.0,48.76,48.76,48.76
44,45,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278.0,0.335,1024.0,512.0,48.35,48.35,48.35
45,46,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,413.0,0.108,1024.0,,49.45,49.45,49.45
46,46,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),100%,1278.0,0.335,1024.0,512.0,47.08,47.08,47.08
47,46,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),83%,,,768.0,8192.0,45.04,45.04,45.04
48,49,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,209.0,0.109,768.0,512.0,46.94,46.94,46.94
49,50,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639.0,0.335,1024.0,512.0,47.6,47.6,47.6
50,51,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,514.0,50.01,50.01,50.01
51,52,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,127.0,0.033,512.0,512.0,45.89,45.89,45.89
52,53,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,1061.0,0.278,768.0,514.0,,,
53,54,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),83%,522.0,0.137,768.0,8192.0,44.84,44.84,44.84
54,55,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),100%,418.0,0.109,768.0,512.0,45.64,45.64,45.64
55,56,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418.0,0.109,768.0,512.0,47.5,47.5,47.5
56,57,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),100%,1660.0,0.435,4096.0,8192.0,46.49,46.49,46.49
57,58,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,64.0,0.033,384.0,512.0,45.77,45.77,45.77
58,59,[e5-large](https://huggingface.co/intfloat/e5-large),100%,1278.0,0.335,1024.0,512.0,44.19,44.19,44.19
59,60,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),100%,127.0,0.033,384.0,512.0,45.01,45.01,45.01
60,61,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,,,,512.0,43.86,43.86,43.86
61,62,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),83%,238.0,0.125,768.0,512.0,45.99,45.99,45.99
62,63,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,2441.0,1.28,2048.0,2048.0,,,
63,64,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87.0,0.023,384.0,512.0,44.07,44.07,44.07
64,65,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,127.0,0.033,384.0,512.0,43.59,43.59,43.59
65,66,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,2441.0,1.28,2048.0,2048.0,,,
66,67,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,449.0,0.118,384.0,256.0,46.33,46.33,46.33
67,68,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776.0,1.78,8960.0,32768.0,,,
68,69,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127.0,0.033,384.0,512.0,44.44,44.44,44.44
69,70,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,2441.0,1.28,2048.0,2048.0,,,
70,71,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,415.0,0.109,768.0,512.0,42.37,42.37,42.37
71,71,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),100%,127.0,0.033,384.0,512.0,43.25,43.25,43.25
72,73,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),83%,58.0,0.03,384.0,512.0,42.53,42.53,42.53
73,74,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,1274.0,0.335,1024.0,512.0,44.27,44.27,44.27
74,75,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,66.0,0.017,384.0,512.0,39.06,39.06,39.06
75,76,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),83%,522.0,0.137,768.0,2048.0,41.66,41.66,41.66
76,77,[e5-base](https://huggingface.co/intfloat/e5-base),100%,418.0,0.109,768.0,512.0,41.49,41.49,41.49
77,78,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,,,4096.0,,43.5,43.5,43.5
78,79,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,490.0,0.129,768.0,512.0,42.81,42.81,42.81
79,80,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,492.0,0.129,768.0,512.0,40.87,40.87,40.87
80,81,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,415.0,0.109,768.0,512.0,42.76,42.76,42.76
81,81,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,60.0,0.016,384.0,512.0,38.31,38.31,38.31
82,83,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,66.0,0.017,384.0,512.0,39.59,39.59,39.59
83,84,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73.0,0.019,384.0,512.0,37.48,37.48,37.48
84,85,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),100%,87.0,0.023,384.0,512.0,41.45,41.45,41.45
85,86,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,29.0,0.008,256.0,,39.08,39.08,39.08
86,87,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,60.0,0.016,384.0,512.0,39.17,39.17,39.17
87,88,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,2136.0,0.56,1024.0,514.0,39.82,39.82,39.82
88,89,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,111.0,0.029,312.0,2048.0,38.92,38.92,38.92
89,90,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,408.0,0.107,768.0,512.0,35.13,35.13,35.13
90,91,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,14.0,0.004,128.0,,38.54,38.54,38.54
91,92,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,391.0,0.103,256.0,,38.53,38.53,38.53
92,93,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127.0,0.033,384.0,512.0,39.3,39.3,39.3
93,94,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87.0,0.023,384.0,512.0,40.28,40.28,40.28
94,94,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87.0,0.023,384.0,256.0,40.28,40.28,40.28
95,96,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),100%,449.0,0.118,384.0,512.0,34.88,34.88,34.88
96,97,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,29.0,0.008,256.0,,38.11,38.11,38.11
97,98,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,127.0,0.032,384.0,512.0,40.03,40.03,40.03
98,99,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66.0,0.017,384.0,512.0,35.22,35.22,35.22
99,99,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,86.0,0.023,384.0,512.0,39.69,39.69,39.69
100,101,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,7.0,0.002,64.0,,37.38,37.38,37.38
101,101,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,,,1024.0,512.0,34.38,34.38,34.38
102,103,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),100%,1885.0,0.494,896.0,512.0,,,
103,104,[USER-base](https://huggingface.co/deepvk/USER-base),100%,473.0,0.427,768.0,512.0,40.97,40.97,40.97
104,105,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,112.0,0.029,312.0,2048.0,34.58,34.58,34.58
105,106,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,1659.0,0.435,1024.0,514.0,35.94,35.94,35.94
106,107,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),100%,1061.0,0.278,768.0,514.0,36.07,36.07,36.07
107,108,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560.0,2.506,2048.0,8192.0,33.66,33.66,33.66
108,109,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,45.0,0.012,312.0,512.0,33.18,33.18,33.18
109,110,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),100%,1540.0,0.404,1024.0,512.0,,,
110,110,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,475.0,0.124,768.0,514.0,34.44,34.44,34.44
111,112,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,1281.0,0.336,1024.0,512.0,31.65,31.65,31.65
112,113,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629.0,0.427,1024.0,512.0,34.6,34.6,34.6
113,114,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418.0,0.109,768.0,514.0,35.84,35.84,35.84
114,115,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),83%,4883.0,1.28,768.0,512.0,32.43,32.43,32.43
115,116,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408.0,0.107,768.0,512.0,33.51,33.51,33.51
116,117,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629.0,0.427,1024.0,512.0,32.13,32.13,32.13
117,118,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262.0,0.137,768.0,8192.0,31.6,31.6,31.6
118,119,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516.0,0.135,768.0,512.0,30.72,30.72,30.72
119,120,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),83%,473.0,0.124,768.0,512.0,29.56,29.56,29.56
120,121,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),100%,2136.0,0.56,1024.0,514.0,,,
121,122,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621.0,0.163,768.0,512.0,28.05,28.05,28.05
122,123,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516.0,0.135,768.0,512.0,30.14,30.14,30.14
123,124,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,391.0,0.102,256.0,,27.44,27.44,27.44
124,125,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,418.0,0.109,768.0,384.0,,,
125,126,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,127.0,0.033,384.0,256.0,,,
126,127,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,12865.0,3.227,2048.0,4096.0,,,
127,127,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),83%,,2.673,2048.0,8192.0,,,
128,129,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),83%,1242.0,0.326,1792.0,512.0,,,
129,130,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660.0,0.435,4096.0,8192.0,,,
130,130,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),83%,1242.0,0.401,1024.0,512.0,,,
131,132,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),83%,2167.0,0.568,1024.0,8192.0,,,
132,132,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),83%,1242.0,0.326,1792.0,512.0,,,
133,134,[FRIDA](https://huggingface.co/ai-forever/FRIDA),83%,3141.0,0.823,1536.0,512.0,,,
134,135,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,29431.0,7.576,1792.0,8192.0,,,
135,136,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),83%,14436.0,7.071,3584.0,8192.0,,,
136,137,[BERTA](https://huggingface.co/sergeyzh/BERTA),83%,489.0,0.128,768.0,512.0,,,
137,137,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),100%,1885.0,0.494,896.0,512.0,,,
138,139,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),83%,2272.0,0.596,2048.0,32768.0,,,
139,140,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,808.0,0.21,768.0,8192.0,,,
140,141,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),100%,237.0,0.124,768.0,514.0,,,
141,142,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),100%,942.0,0.494,896.0,512.0,,,
142,142,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,123.0,0.032,312.0,2048.0,,,
143,144,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),100%,1355.0,0.355,1024.0,514.0,,,
144,145,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),66%,568.0,0.149,768.0,8192.0,,,
145,145,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),100%,78.0,0.041,384.0,512.0,,,
146,147,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,1347.0,0.353,1024.0,512.0,,,
147,148,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,496.0,0.123,768.0,512.0,,,
148,149,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),66%,131.0,0.034,384.0,8192.0,,,
149,150,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),100%,582.0,0.305,768.0,8192.0,,,
150,151,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,1347.0,0.353,1024.0,512.0,,,
151,152,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.335,768.0,512.0,,,
152,153,[fabert](https://huggingface.co/sbunlp/fabert),100%,475.0,0.124,768.0,512.0,,,
153,154,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.335,768.0,512.0,,,
154,155,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87.0,0.023,384.0,512.0,,,
155,156,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134.0,0.035,512.0,512.0,,,
156,157,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,469.0,0.123,768.0,512.0,,,
157,158,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,621.0,0.163,768.0,512.0,,,
158,159,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,128.0,,,
159,160,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,512.0,,,
160,161,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.11,768.0,512.0,,,
161,162,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420.0,0.11,768.0,512.0,,,
162,163,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,514.0,,,
163,164,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,621.0,0.163,768.0,512.0,,,
164,165,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),100%,3715.0,0.94,2048.0,2048.0,,,
