model_name,num_params,languages,map_es_es,mrr,ndcg,p@5,p@10,p@100
dccuchile/albert-base-4-spanish-distilled-qa-mlqa,11811584,monolingual,0.1010881634758166,0.449629618584486,0.4864324607381108,0.34810810810810816,0.2648648648648649,0.07427027027027028
dccuchile/albert-base-10-spanish,11811584,monolingual,0.09954211924989818,0.4438969363559412,0.4834921951063318,0.34810810810810816,0.2848648648648649,0.07405405405405407
dccuchile/albert-base-6-spanish-distilled-pos,11811584,monolingual,0.09947240697786881,0.45056906379886685,0.4832232924346144,0.32,0.2670270270270271,0.07600000000000001
PlanTL-GOB-ES/roberta-base-biomedical-es,125978112,monolingual,0.09835342696204512,0.40119114413996015,0.47270667923527665,0.2897297297297297,0.22864864864864867,0.07070270270270271
dccuchile/albert-base-8-spanish-distilled-pos,11811584,monolingual,0.0969470365044846,0.4340556777175988,0.4822834819128559,0.32540540540540547,0.24108108108108112,0.07281081081081082
dccuchile/albert-base-4-spanish-distilled-qa-tar,11811584,monolingual,0.09438476231632319,0.4492703645072382,0.47895365637638565,0.32108108108108113,0.2491891891891892,0.07394594594594596
dccuchile/albert-base-6-spanish-distilled-qa-tar,11811584,monolingual,0.09231755336926568,0.4377810270873111,0.477820455026424,0.34054054054054056,0.2686486486486487,0.0718918918918919
dccuchile/albert-base-6-spanish-distilled-qa-sqac,11811584,monolingual,0.09017954997560972,0.4173949599563543,0.47563481185928325,0.3048648648648649,0.24162162162162162,0.07513513513513513
dccuchile/albert-base-10-spanish-distilled-pos,11811584,monolingual,0.08982255274799479,0.43981228253933197,0.4731968973187408,0.3048648648648649,0.2464864864864865,0.07108108108108109
dccuchile/albert-base-spanish-distilled-mldoc,11811584,monolingual,0.08979808134940082,0.41923753664052693,0.46823490506612164,0.3113513513513514,0.2410810810810811,0.06648648648648649
dccuchile/albert-tiny-spanish-distilled-qa-tar,5344136,monolingual,0.089598288297462,0.40410927382286776,0.4695803875396367,0.2940540540540541,0.24432432432432433,0.07070270270270271
dccuchile/albert-xxlarge-spanish,222723584,monolingual,0.08885357885648576,0.4393648050958194,0.4655515853140729,0.3437837837837838,0.2718918918918919,0.06470270270270272
dccuchile/albert-base-spanish-distilled-pawsx,11811584,monolingual,0.08876579764069162,0.42404381562448007,0.46773000978370033,0.3232432432432433,0.25675675675675674,0.06735135135135134
dccuchile/albert-base-4-spanish-distilled-ner,11811584,monolingual,0.08796748911799493,0.44049031447116616,0.47554477616384283,0.2886486486486487,0.22864864864864867,0.07556756756756756
dccuchile/albert-tiny-spanish-distilled-xnli,5344136,monolingual,0.08698329093726717,0.43499329292978084,0.4737253933397633,0.3037837837837838,0.21945945945945947,0.0685945945945946
dccuchile/albert-base-6-spanish-distilled-pawsx,11811584,monolingual,0.08380302509374667,0.44371574075909564,0.4633998209757858,0.3091891891891892,0.24162162162162162,0.06605405405405407
dccuchile/albert-base-8-spanish-distilled-qa-tar,11811584,monolingual,0.08339408151575836,0.45454885581702376,0.46523309128049906,0.305945945945946,0.22054054054054056,0.0632972972972973
dccuchile/albert-base-10-spanish-distilled-qa-sqac,11811584,monolingual,0.08265471339191025,0.4291972633179455,0.4663220600911173,0.2951351351351352,0.22216216216216217,0.06691891891891893
dccuchile/albert-base-10-spanish-distilled-pawsx,11811584,monolingual,0.07976603108015336,0.46362917608426973,0.4644494575086582,0.3167567567567568,0.23783783783783785,0.06054054054054055
dccuchile/albert-base-8-spanish-distilled-qa-mlqa,11811584,monolingual,0.07939372230488388,0.42973838959580624,0.4622246329280703,0.2897297297297297,0.2264864864864865,0.06248648648648648
dccuchile/albert-base-8-spanish-distilled-pawsx,11811584,monolingual,0.07937448450637657,0.44197150537891217,0.4547995647742168,0.31675675675675674,0.23351351351351352,0.05794594594594594
dccuchile/albert-base-8-spanish-distilled-qa-sqac,11811584,monolingual,0.07895216436031419,0.41855331921356376,0.46599058376344954,0.25405405405405407,0.212972972972973,0.07378378378378378
dccuchile/albert-base-6-spanish-distilled-ner,11811584,monolingual,0.07853637206404225,0.4209938074403302,0.4643391020672726,0.2681081081081081,0.20432432432432435,0.06616216216216217
dccuchile/albert-base-6-spanish-distilled-qa-mlqa,11811584,monolingual,0.07816409795886811,0.4185757180253046,0.4584683483457684,0.2864864864864865,0.20972972972972972,0.06567567567567568
dccuchile/albert-base-spanish,11811584,monolingual,0.07798133464757741,0.41489369423771183,0.4525928493621136,0.3178378378378379,0.23621621621621622,0.059243243243243246
dccuchile/albert-base-spanish-distilled-pos,11811584,monolingual,0.0778169755468526,0.412006855677873,0.4560328830475139,0.3048648648648649,0.23243243243243247,0.06383783783783784
dccuchile/albert-tiny-spanish-distilled-qa-mlqa,5344136,monolingual,0.07558120953661618,0.4193623185866604,0.4583693462764031,0.2875675675675676,0.21081081081081082,0.0632972972972973
dccuchile/albert-base-8-spanish-distilled-ner,11811584,monolingual,0.07202673177933384,0.3889698418453341,0.4507712261885577,0.24000000000000002,0.18702702702702706,0.05675675675675677
dccuchile/albert-tiny-spanish-distilled-ner,5344136,monolingual,0.07189405521943582,0.38373164001454874,0.45254045852418107,0.24432432432432433,0.1972972972972973,0.06702702702702702
dccuchile/albert-base-spanish-distilled-qa-tar,11811584,monolingual,0.07152982763228255,0.42233785531918006,0.45402404863202445,0.27459459459459457,0.2140540540540541,0.05772972972972973
dccuchile/albert-base-spanish-distilled-qa-mlqa,11811584,monolingual,0.07142239621095266,0.3998847108353047,0.4507916531426317,0.24756756756756756,0.19513513513513517,0.061243243243243255
dccuchile/albert-base-10-spanish-distilled-qa-mlqa,11811584,monolingual,0.07007738992840412,0.41638999825456924,0.44458067260103723,0.26162162162162167,0.19243243243243247,0.05432432432432433
dccuchile/albert-base-spanish-distilled-qa-sqac,11811584,monolingual,0.06658058981752235,0.386718137869598,0.43959405392385553,0.25081081081081086,0.20054054054054055,0.05362162162162163
dccuchile/albert-base-10-spanish-distilled-ner,11811584,monolingual,0.06318949989945402,0.39629058793889177,0.4438690817896417,0.23783783783783785,0.17945945945945949,0.055945945945945944
dccuchile/albert-base-10-spanish-distilled-qa-tar,11811584,monolingual,0.06270303463428806,0.39539493158354194,0.4317643307242805,0.2421621621621622,0.17945945945945949,0.04832432432432432
dccuchile/albert-base-spanish-distilled-ner,11811584,monolingual,0.054584604270185404,0.34083913358621043,0.4258968259301109,0.1913513513513514,0.1508108108108108,0.05102702702702702
dccuchile/albert-large-spanish,17811968,monolingual,0.039060514386590875,0.33898780703004433,0.3948721508284579,0.1848648648648649,0.12270270270270271,0.03432432432432433
